industry,Computers_and_peripheral_equipment,Communication_equipment,Nonelectronic_medical_instruments,Electronic_medical_instruments,Nonmedical_instruments,Photocopy_and_related_equipment,Office_and_accounting_equipment,Nuclear_fuel,Other_fabricated_metal_products,Steam_engines,Internal_combustion_engines,Metalworking_machinery,Special_industrial_machinery,General_industrial_equipment,Electric_transmission_distribution_and_industrial_apparatus,Light_trucks_(including_utility_vehicles),Other_trucks_buses_and_truck_trailers,Autos,Aircraft,Ships_and_boats,Railroad_equipment,Household_furniture,Other_furniture_and_fixtures,Other_agricultural_machinery,Farm_tractors,Other_construction_machinery,Construction_tractors,Mining_and_oilfield_machinery,Service_industry_machinery,Household_appliances,Other_electrical_equipment,Other_nonresidential_equipment,Office_and_medical_buildings,Hospitals_and_special_care_facilities,Warehouses,Mobile_structures,Other_commercial_buildings,Manufacturing_buildings,Electric_power_structures,Wind_and_solar_power_structures,Gas_power_structures,Petroleum_pipelines,Communication_structures,Depreciable_petroleum_and_natural_gas_structures,Depreciable_mining_structures,Religious_buildings,Educational_and_vocational_buildings,Lodging_buildings,Amusement_and_recreation_buildings,Track_replacement,Other_railroad_structures,Other_transportation_structures,Farm_buildings,Water_supply_and_sewer_and_waste_disposal_facilities,Public_safety_highways_conservation_and_development,Prepackaged_software,Custom_software,Own_account_software,Research_and_development,Theatrical_movies,Long_lived_television_programs,Books,Music,Other_entertainment_originals,Residential_equipment,Residential_buildings
Rail_Transportation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Water_Transportation,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Truck_Transportation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Transit_and_Ground_Passenger_Transportation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Pipeline_Transportation,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Transportation_and_Support_Activities,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Warehousing_and_Storage,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Publishing_Industries_(Except_Internet),2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Movie_Theaters,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Motion_Picture_and_Sound_Recording,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Broadcasting_(Except_Internet)_and_Telecommunications,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Telephone_Communication,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1,1,2,1.5,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Cable_Television,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,2,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Telecommunication,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1.5,1.5,2,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Information_and_Data_Processing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Depository_Credit_Intermediation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Intermediation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Nondepository_Credit_Intermediation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
