detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Other_Non_Gas_Stations_Retail,Nonstore retailers,242454120,NA,NA,NA
Air_Transportation,Air transportation,178054516,NA,NA,NA
Rail_Transportation,Rail transportation,52274394,NA,NA,NA
Water_Transportation,Water transportation,15047583,NA,NA,NA
Truck_Transportation,Truck transportation,104578622,NA,NA,NA
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,14693028,NA,NA,NA
Pipeline_Transportation,Pipeline transportation,NA,18789859,FALSE,NA
Other_Transportation_and_Support_Activities,Other transportation and support activities,220888059,NA,NA,NA
Warehousing_and_Storage,Warehousing and storage,NA,18789859,FALSE,NA
Publishing_Industries_(Except_Internet),Newspaper publishers,16349027,NA,NA,NA
Publishing_Industries_(Except_Internet),Periodical publishers,22448466,NA,NA,NA
Publishing_Industries_(Except_Internet),Book publishers,26196340,NA,NA,NA
Publishing_Industries_(Except_Internet),Database directory and other publishers,9844390,NA,NA,NA
Movie_Theaters,Motion picture and video industries (except video rental),NA,93437798,FALSE,NA
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),NA,93437798,FALSE,NA
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,NA,93437798,FALSE,NA
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except internet),116821277,NA,NA,NA
Telephone_Communication,"Telecommunications (paging, cellular, cable, satellite, & internet service providers",437768602,NA,NA,NA
Cable_Television,"Telecommunications (paging, cellular, cable, satellite, & internet service providers",437768602,NA,NA,NA
Other_Telecommunication,"Telecommunications (paging, cellular, cable, satellite, & internet service providers",437768602,NA,NA,NA
Information_and_Data_Processing,"Data processing, hosting, and related services",86758416,NA,NA,NA
Information_and_Data_Processing,Other information services,119533491,NA,NA,NA
Depository_Credit_Intermediation,Commercial banking,14322582,NA,NA,NA
Depository_Credit_Intermediation,"Savings institutions, credit unions, and other depository credit intermediation",NA,10374799,FALSE,NA
Nondepository_Credit_Intermediation,Credit card issuing and other consumer credit,41947922,NA,NA,NA
Nondepository_Credit_Intermediation,Real estate credit (including mortgage bankers and originators),9544655,NA,NA,NA
Nondepository_Credit_Intermediation,"International, secondary financing, and other nondepository credit intermediation",5114370,NA,NA,NA
Other_Intermediation,"Activities related to credit intermediation (loan brokers, check clearing, etc.)",47617314,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Investment banking and securities dealing,54297492,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Securities brokerage,39909938,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Commodity contracts dealing and brokerage,1950331,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity exchanges, and other financial investment activities",83916235,NA,NA,NA
Insurance_Carriers,Life insurance,611473644,NA,NA,NA
Insurance_Carriers,Property and casualty insurance,1423094615,NA,NA,NA
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,48474480,NA,NA,NA
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities (third-party administrator of insurance, etc.)",31267013,NA,NA,NA
"Funds,_Trusts,_and_Other_Financial_Vehicles_",Other financial vehicles,NA,10374799,FALSE,NA
Real_Estate,Lessors of buildings,23828346,NA,NA,NA
Real_Estate,"Lessors of miniwarehouses, self-storage units, and other real estate",5723209,NA,NA,NA
Real_Estate,Offices of real estate agents and brokers,27368597,NA,NA,NA
Real_Estate,Other real estate activities,26779480,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Automotive equipment rental and leasing,50901372,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Other consumer goods and general rental centers,13643334,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Commercial and industrial machinery and equipment rental and leasing,35910211,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Lessors of nonfinancial intangible assets (except copyrighted works),5001007,NA,NA,NA
Legal_Services,Legal services,41642358,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",38972404,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",155406805,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,5630771,NA,NA,NA
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,239528345,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",154259592,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,64493959,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,72336029,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",53604887,NA,NA,NA
Management_Of_Companies_and_Enterprises,Offices of bank holding companies,172638409,NA,NA,NA
Management_Of_Companies_and_Enterprises,Offices of other holding companies,3522954,NA,NA,NA
Administrative_and_Support_Services,Employment services,114376983,NA,NA,NA
Administrative_and_Support_Services,Travel arrangement and reservation services,37356355,NA,NA,NA
Administrative_and_Support_Services,Other administrative and support services,125886091,NA,NA,NA
Waste_Management_and_Remediation_Services,Waste management and remediation services,54335509,NA,NA,NA
Educational_Services,Educational services,33480532,NA,NA,NA
Ambulatory_Health_Care_Services,Offices of physicians,154696748,NA,NA,NA
Ambulatory_Health_Care_Services,Offices of dentists,21594544,NA,NA,NA
Ambulatory_Health_Care_Services,Offices of other health practitioners,26021779,NA,NA,NA
Ambulatory_Health_Care_Services,Outpatient care centers,36144686,NA,NA,NA
Social_Assistance,Miscellaneous health care and social assistance,78589893,NA,NA,NA
Hospitals,"Hospitals, nursing, and residential care facilities",115502086,NA,NA,NA
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",115502086,NA,NA,NA
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",24999893,NA,NA,NA
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",24999893,NA,NA,NA
Amusement_Parks,"Amusement, gambling, and recreation industries",33116872,NA,NA,NA
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",33116872,NA,NA,NA
Other_Recreation_Services,"Amusement, gambling, and recreation industries",33116872,NA,NA,NA
Accomodation,Accommodation,80786131,NA,NA,NA
Food_Services_and_Drinking_Places,Food services and drinking places,202650546,NA,NA,NA
Other_Services_(Except_Public_Administration),Other services,83178263,NA,NA,NA
