industry,Computers_and_peripheral_equipment,Communication_equipment,Nonelectronic_medical_instruments,Electronic_medical_instruments,Nonmedical_instruments,Photocopy_and_related_equipment,Office_and_accounting_equipment,Nuclear_fuel,Other_fabricated_metal_products,Steam_engines,Internal_combustion_engines,Metalworking_machinery,Special_industrial_machinery,General_industrial_equipment,Electric_transmission_distribution_and_industrial_apparatus,Light_trucks_(including_utility_vehicles),Other_trucks_buses_and_truck_trailers,Autos,Aircraft,Ships_and_boats,Railroad_equipment,Household_furniture,Other_furniture_and_fixtures,Other_agricultural_machinery,Farm_tractors,Other_construction_machinery,Construction_tractors,Mining_and_oilfield_machinery,Service_industry_machinery,Household_appliances,Other_electrical_equipment,Other_nonresidential_equipment,Office_and_medical_buildings,Hospitals_and_special_care_facilities,Warehouses,Mobile_structures,Other_commercial_buildings,Manufacturing_buildings,Electric_power_structures,Wind_and_solar_power_structures,Gas_power_structures,Petroleum_pipelines,Communication_structures,Depreciable_petroleum_and_natural_gas_structures,Depreciable_mining_structures,Religious_buildings,Educational_and_vocational_buildings,Lodging_buildings,Amusement_and_recreation_buildings,Track_replacement,Other_railroad_structures,Other_transportation_structures,Farm_buildings,Water_supply_and_sewer_and_waste_disposal_facilities,Public_safety_highways_conservation_and_development,Prepackaged_software,Custom_software,Own_account_software,Research_and_development,Theatrical_movies,Long_lived_television_programs,Books,Music,Other_entertainment_originals,Residential_equipment,Residential_buildings
Other_Petroleum_and_Coal_Products_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Chemical_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0.2179,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Plastics_and_Rubber_Products_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Glass_Products_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Cement_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Other_Nonmetalic_Mineral_Products_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Primary_Ferrous_Metal_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0.2179,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Primary_Nonferrous_Metal_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Fabricated_Metal_Product_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Machinery_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Computer_and_Electronic_Product_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Motor_Vehicle_and_Parts_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Ships_and_Boats_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Other_Transportation_Equipment_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Furniture_and_Related_Products_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Medical_and_Dental_Supplies_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Other_Miscellaneous_Manufacturing,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0.2179,0,0,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0.2179,0,0,0,0,0.2179,0.2179,0.2179,0,0.2179,0,0.2179,0,0,0,0,0,0,0,0,0.2179,0
Wholesale_Durable_Goods,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0.3241,0,0,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0,0.3241,0.3241,0.3241,0,0.3241,0,0.3241,0,0,0,0,0,0,0,0,0.3241,0
Wholesale_Nondurable_Goods,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0.3241,0,0,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0,0.3241,0.3241,0.3241,0,0.3241,0,0.3241,0,0,0,0,0,0,0,0,0.3241,0
Motor_Vehicle_and_Parts_Dealers,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0.3241,0,0,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0,0.3241,0.3241,0.3241,0,0.3241,0,0.3241,0,0,0,0,0,0,0,0,0.3241,0
Food_and_Beverages_Stores,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0.3241,0,0,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0.3241,0,0,0,0,0.3241,0.3241,0.3241,0,0.3241,0,0.3241,0,0,0,0,0,0,0,0,0.3241,0
