asset_class,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Internal_combustion_engines,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726,14.4779726
Metalworking_machinery,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003,6.8008003
Special_industrial_machinery,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626,5.3314626
General_industrial_equipment,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586,6.9144586
Electric_transmission_distribution_and_industrial_apparatus,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813,17.7869813
Light_trucks_(including_utility_vehicles),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Other_trucks_buses_and_truck_trailers,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Autos,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Aircraft,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755,5.5931755
Ships_and_boats,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683,9.3469683
Railroad_equipment,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Household_furniture,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812,5.340812
Other_furniture_and_fixtures,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Other_agricultural_machinery,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764,5.3718764
Farm_tractors,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707,5.5065707
Other_construction_machinery,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465,5.6348465
Construction_tractors,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468,5.3391468
Mining_and_oilfield_machinery,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955,10.205955
Service_industry_machinery,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127,6.4732127
Household_appliances,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583,5.0471583
Other_electrical_equipment,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419,9.8980419
Other_nonresidential_equipment,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577,6.4992577
Office_and_medical_buildings,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037,38.7465037
Hospitals_and_special_care_facilities,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Warehouses,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Mobile_structures,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Other_commercial_buildings,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317,32.8420317
Manufacturing_buildings,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Electric_power_structures,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262,18.8840262
Wind_and_solar_power_structures,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Gas_power_structures,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633,19.8652633
Petroleum_pipelines,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845,14.1577845
Communication_structures,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414,14.1948414
Depreciable_petroleum_and_natural_gas_structures,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134,6.9236134
Depreciable_mining_structures,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164,6.983164
Religious_buildings,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Educational_and_vocational_buildings,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Lodging_buildings,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Amusement_and_recreation_buildings,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016,36.9259016
Track_replacement,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Other_railroad_structures,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Other_transportation_structures,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Farm_buildings,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Water_supply_and_sewer_and_waste_disposal_facilities,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Public_safety_highways_conservation_and_development,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257,14.728257
Prepackaged_software,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Custom_software,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Own_account_software,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Research_and_development,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Theatrical_movies,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Long_lived_television_programs,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318,9.8943318
Books,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497,7.7122497
Music,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512,6.2124512
Other_entertainment_originals,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494,5.9917494
Residential_equipment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Residential_buildings,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5

